134.84.62.105 128.101.37.5 44763 10KB 575
134.84.62.105 128.101.37.5 44763 100KB 1138
134.84.62.105 128.101.37.5 44763 1000KB 4268
134.84.62.105 128.101.37.5 44763 10000KB 24771
134.84.62.105 128.101.37.10 56460 10KB 512
134.84.62.105 128.101.37.10 56460 100KB 721
134.84.62.105 128.101.37.10 56460 1000KB 2495
134.84.62.105 128.101.37.10 56460 10000KB 22980
134.84.62.105 128.101.37.10 36295 10KB 630
134.84.62.105 128.101.37.10 36295 100KB 1028
134.84.62.105 128.101.37.10 36295 1000KB 4338
134.84.62.105 128.101.37.10 36295 10000KB 33760
134.84.62.105 128.101.37.20 57305 10KB 653
134.84.62.105 128.101.37.20 57305 100KB 826
134.84.62.105 128.101.37.20 57305 1000KB 3129
134.84.62.105 128.101.37.20 57305 10000KB 23970
134.84.62.105 128.101.37.10 36295 10KB 699
134.84.62.105 128.101.37.10 36295 100KB 1179
134.84.62.105 128.101.37.10 36295 1000KB 4410
134.84.62.105 128.101.37.10 36295 10000KB 21554
134.84.62.105 128.101.37.20 57305 10KB 735
134.84.62.105 128.101.37.20 57305 100KB 1263
134.84.62.105 128.101.37.20 57305 1000KB 3136
134.84.62.105 128.101.37.20 57305 10000KB 23459
